GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC03_EST_VC52,HC03_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC03_EST_VC53,HC03_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC03_EST_VC54,HC03_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC03_EST_VC55,HC03_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC02_EST_VC56,HC02_MOE_VC56,HC03_EST_VC56,HC03_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC02_EST_VC57,HC02_MOE_VC57,HC03_EST_VC57,HC03_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC03_EST_VC58,HC03_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC03_EST_VC59,HC03_MOE_VC59
1400000US48039660100,48039660100,"Census Tract 6601, Brazoria County, Texas",4641,373,88,69,1.9,1.5,36,41,,,,,162,126,,,,,219,154,,,,,259,157,,,,,288,152,,,,,597,221,,,,,1306,360,,,,,1877,456,,,,
1400000US48039660200,48039660200,"Census Tract 6602, Brazoria County, Texas",6134,551,459,298,7.5,4.9,244,195,,,,,459,298,,,,,568,304,,,,,656,304,,,,,680,309,,,,,1811,517,,,,,2968,721,,,,,4110,663,,,,
1400000US48039660300,48039660300,"Census Tract 6603, Brazoria County, Texas",10817,596,415,153,3.8,1.4,100,65,,,,,545,193,,,,,658,224,,,,,1165,442,,,,,1179,447,,,,,2691,762,,,,,4143,782,,,,,5899,838,,,,
1400000US48039660400,48039660400,"Census Tract 6604, Brazoria County, Texas",10436,769,1358,711,13,6.5,802,617,,,,,1493,699,,,,,1558,702,,,,,1931,738,,,,,2114,745,,,,,3454,888,,,,,5217,1013,,,,,6975,973,,,,
1400000US48039660500,48039660500,"Census Tract 6605, Brazoria County, Texas",9281,595,719,322,7.7,3.4,395,238,,,,,1166,483,,,,,1653,583,,,,,2102,628,,,,,2190,643,,,,,4007,711,,,,,4973,688,,,,,6032,673,,,,
1400000US48039660601,48039660601,"Census Tract 6606.01, Brazoria County, Texas",11887,612,445,380,3.7,3.2,220,277,,,,,469,394,,,,,607,402,,,,,967,488,,,,,1028,528,,,,,2632,919,,,,,3906,1022,,,,,5503,1060,,,,
1400000US48039660602,48039660602,"Census Tract 6606.02, Brazoria County, Texas",37274,2054,1655,848,4.4,2.3,803,637,,,,,2345,1195,,,,,2528,1171,,,,,5773,2175,,,,,6142,2201,,,,,8152,2501,,,,,14639,2841,,,,,19629,2932,,,,
1400000US48039660701,48039660701,"Census Tract 6607.01, Brazoria County, Texas",15779,978,352,386,2.2,2.5,53,71,,,,,529,431,,,,,588,444,,,,,988,569,,,,,1068,582,,,,,2954,864,,,,,5492,1163,,,,,6722,1247,,,,
1400000US48039660702,48039660702,"Census Tract 6607.02, Brazoria County, Texas",14509,1022,1316,674,9.1,4.6,324,239,,,,,1534,655,,,,,1864,641,,,,,2198,695,,,,,2480,724,,,,,3791,916,,,,,6801,1469,,,,,8123,1504,,,,
1400000US48039660801,48039660801,"Census Tract 6608.01, Brazoria County, Texas",9319,718,655,517,7,5.3,160,111,,,,,745,529,,,,,827,557,,,,,943,570,,,,,1039,609,,,,,2720,988,,,,,4391,1132,,,,,5485,1048,,,,
1400000US48039660802,48039660802,"Census Tract 6608.02, Brazoria County, Texas",8067,603,364,326,4.5,4,72,76,,,,,471,352,,,,,556,356,,,,,754,369,,,,,1037,497,,,,,1874,639,,,,,3124,732,,,,,4611,748,,,,
1400000US48039660900,48039660900,"Census Tract 6609, Brazoria County, Texas",7480,638,1416,479,18.9,6.4,759,364,,,,,2051,487,,,,,3171,729,,,,,3728,733,,,,,3996,753,,,,,4767,732,,,,,5445,778,,,,,5721,757,,,,
1400000US48039661000,48039661000,"Census Tract 6610, Brazoria County, Texas",6664,729,464,355,7,5.1,84,99,,,,,503,357,,,,,729,409,,,,,1342,699,,,,,1675,713,,,,,2852,875,,,,,4240,780,,,,,4900,771,,,,
1400000US48039661100,48039661100,"Census Tract 6611, Brazoria County, Texas",3276,308,555,265,16.9,7.8,267,137,,,,,619,268,,,,,738,283,,,,,1018,305,,,,,1419,431,,,,,2050,415,,,,,2322,413,,,,,2719,364,,,,
1400000US48039661200,48039661200,"Census Tract 6612, Brazoria County, Texas",4035,421,829,301,20.5,7.3,301,164,,,,,1074,316,,,,,1185,311,,,,,2003,447,,,,,2013,450,,,,,2650,450,,,,,3256,456,,,,,3757,425,,,,
1400000US48039661300,48039661300,"Census Tract 6613, Brazoria County, Texas",2682,293,786,290,29.3,9.8,192,102,,,,,969,345,,,,,1088,338,,,,,1471,376,,,,,1533,379,,,,,2094,342,,,,,2350,313,,,,,2546,311,,,,
1400000US48039661400,48039661400,"Census Tract 6614, Brazoria County, Texas",7107,581,894,553,12.6,7.4,291,191,,,,,1716,748,,,,,2094,712,,,,,3157,747,,,,,3214,747,,,,,4304,688,,,,,5100,604,,,,,5674,624,,,,
1400000US48039661501,48039661501,"Census Tract 6615.01, Brazoria County, Texas",5158,574,473,296,9.2,5.7,208,166,,,,,620,325,,,,,1162,450,,,,,1546,417,,,,,1779,432,,,,,2572,563,,,,,3240,562,,,,,3927,584,,,,
1400000US48039661502,48039661502,"Census Tract 6615.02, Brazoria County, Texas",4459,368,475,194,10.7,4.4,240,141,,,,,616,239,,,,,889,282,,,,,1079,353,,,,,1124,371,,,,,1856,402,,,,,2573,432,,,,,3269,417,,,,
1400000US48039661601,48039661601,"Census Tract 6616.01, Brazoria County, Texas",6465,573,978,414,15.1,6.3,409,276,,,,,1207,425,,,,,1496,450,,,,,1897,521,,,,,2320,574,,,,,3409,612,,,,,4151,647,,,,,4739,646,,,,
1400000US48039661602,48039661602,"Census Tract 6616.02, Brazoria County, Texas",2793,441,520,266,18.6,9.4,157,117,,,,,551,272,,,,,607,279,,,,,770,303,,,,,777,303,,,,,1145,306,,,,,1608,362,,,,,2045,377,,,,
1400000US48039661700,48039661700,"Census Tract 6617, Brazoria County, Texas",2457,286,196,87,8,3.5,92,50,,,,,328,137,,,,,388,144,,,,,513,170,,,,,528,172,,,,,998,281,,,,,1348,257,,,,,1839,294,,,,
1400000US48039661800,48039661800,"Census Tract 6618, Brazoria County, Texas",6233,589,792,325,12.7,5.2,531,297,,,,,813,328,,,,,1237,534,,,,,1867,627,,,,,1886,627,,,,,3068,674,,,,,3793,660,,,,,4345,700,,,,
1400000US48039661900,48039661900,"Census Tract 6619, Brazoria County, Texas",8438,850,1116,483,13.2,5.5,183,129,,,,,1664,714,,,,,2261,875,,,,,2882,930,,,,,2899,929,,,,,4227,854,,,,,5104,760,,,,,5728,746,,,,
1400000US48039662000,48039662000,"Census Tract 6620, Brazoria County, Texas",5400,563,952,371,17.6,6.7,451,344,,,,,1067,381,,,,,1312,456,,,,,1542,478,,,,,1701,506,,,,,2666,540,,,,,3417,601,,,,,4187,580,,,,
1400000US48039662100,48039662100,"Census Tract 6621, Brazoria County, Texas",5533,478,814,277,14.7,4.8,346,183,,,,,907,295,,,,,1196,459,,,,,1403,445,,,,,1639,506,,,,,2818,595,,,,,3444,597,,,,,4205,648,,,,
1400000US48039662200,48039662200,"Census Tract 6622, Brazoria County, Texas",5794,585,210,161,3.6,2.8,70,97,,,,,541,364,,,,,939,561,,,,,1302,596,,,,,1494,611,,,,,2433,706,,,,,3338,739,,,,,3842,659,,,,
1400000US48039662300,48039662300,"Census Tract 6623, Brazoria County, Texas",5203,507,1000,489,19.2,9.2,571,317,,,,,1082,504,,,,,1688,617,,,,,1743,638,,,,,1752,639,,,,,2619,696,,,,,3602,726,,,,,4435,569,,,,
1400000US48039662400,48039662400,"Census Tract 6624, Brazoria County, Texas",5270,365,411,182,7.8,3.4,295,173,,,,,616,211,,,,,725,227,,,,,931,226,,,,,1094,283,,,,,2271,397,,,,,2863,466,,,,,3443,473,,,,
1400000US48039662500,48039662500,"Census Tract 6625, Brazoria County, Texas",2669,225,213,143,8,5.3,193,142,,,,,314,160,,,,,383,179,,,,,664,215,,,,,664,215,,,,,1029,268,,,,,1749,300,,,,,1926,294,,,,
1400000US48039662600,48039662600,"Census Tract 6626, Brazoria County, Texas",3564,427,306,202,8.6,5.7,188,168,,,,,313,203,,,,,387,224,,,,,524,249,,,,,919,504,,,,,1659,464,,,,,2590,460,,,,,3097,473,,,,
1400000US48039662700,48039662700,"Census Tract 6627, Brazoria County, Texas",2535,252,375,164,14.8,6.1,76,44,,,,,448,171,,,,,588,199,,,,,818,268,,,,,837,269,,,,,1306,283,,,,,1554,292,,,,,1848,287,,,,
1400000US48039662800,48039662800,"Census Tract 6628, Brazoria County, Texas",5631,456,1179,393,20.9,6.5,482,270,,,,,1233,400,,,,,1436,401,,,,,1815,411,,,,,1847,406,,,,,2723,511,,,,,3387,542,,,,,4349,449,,,,
1400000US48039662900,48039662900,"Census Tract 6629, Brazoria County, Texas",5013,474,683,246,13.6,4.8,302,153,,,,,868,275,,,,,1166,286,,,,,1847,504,,,,,1856,503,,,,,2876,510,,,,,3672,520,,,,,4051,556,,,,
1400000US48039663000,48039663000,"Census Tract 6630, Brazoria County, Texas",2960,288,408,181,13.8,5.9,144,105,,,,,499,179,,,,,536,181,,,,,677,223,,,,,691,224,,,,,1325,285,,,,,2008,324,,,,,2316,321,,,,
1400000US48039663100,48039663100,"Census Tract 6631, Brazoria County, Texas",5630,389,350,235,6.2,4.1,101,84,,,,,487,247,,,,,558,266,,,,,629,280,,,,,666,284,,,,,1256,413,,,,,1992,449,,,,,2466,467,,,,
1400000US48039663200,48039663200,"Census Tract 6632, Brazoria County, Texas",4758,317,331,172,7,3.6,77,61,,,,,566,249,,,,,605,255,,,,,637,258,,,,,794,259,,,,,1207,346,,,,,2098,428,,,,,2761,473,,,,
1400000US48039663300,48039663300,"Census Tract 6633, Brazoria County, Texas",2147,203,312,149,14.5,6.6,134,88,,,,,350,151,,,,,405,154,,,,,507,166,,,,,650,190,,,,,1074,228,,,,,1446,264,,,,,1778,215,,,,
1400000US48039663400,48039663400,"Census Tract 6634, Brazoria County, Texas",7588,580,947,486,12.5,6.4,662,424,,,,,1256,528,,,,,1423,559,,,,,1934,626,,,,,1971,626,,,,,3342,743,,,,,4418,686,,,,,5058,729,,,,
1400000US48039663500,48039663500,"Census Tract 6635, Brazoria County, Texas",5786,599,496,337,8.6,5.7,201,180,,,,,652,359,,,,,796,372,,,,,1222,428,,,,,1350,471,,,,,2912,801,,,,,3568,751,,,,,4105,793,,,,
1400000US48039663600,48039663600,"Census Tract 6636, Brazoria County, Texas",5407,323,104,77,1.9,1.4,79,74,,,,,196,110,,,,,292,155,,,,,531,220,,,,,531,220,,,,,936,299,,,,,1844,472,,,,,2530,471,,,,
1400000US48039663700,48039663700,"Census Tract 6637, Brazoria County, Texas",3603,125,451,225,12.5,6.2,98,82,,,,,518,257,,,,,559,257,,,,,719,257,,,,,736,261,,,,,1198,262,,,,,2049,303,,,,,2569,285,,,,
1400000US48039663800,48039663800,"Census Tract 6638, Brazoria County, Texas",6187,458,1140,421,18.4,6.6,427,244,,,,,1546,514,,,,,1843,553,,,,,1971,591,,,,,2064,601,,,,,3818,723,,,,,4628,606,,,,,5090,584,,,,
1400000US48039663900,48039663900,"Census Tract 6639, Brazoria County, Texas",2133,240,476,174,22.3,7.7,79,82,,,,,618,219,,,,,814,221,,,,,1051,238,,,,,1091,242,,,,,1487,220,,,,,1719,255,,,,,1828,238,,,,
